2026-03-16 17:26:37,627 - optuna.study._optimize - WARNING - Trial 65 failed with value None.
2026-03-16 17:26:54,739 - optuna.storages._in_memory - INFO - A new study created in memory with name: no-name-fa4acafa-deb7-4930-9903-cfff9462f7b1
2026-03-16 17:39:17,827 - optuna.study.study - INFO - Trial 22 finished with value: 0.7565500000000001 and parameters: {'n_estimators': 428, 'max_depth': 6, 'learning_rate': 0.08004841897314108, 'gamma': 0.5682286336520497, 'lambda': 1.8080395801183677, 'alpha': 0.5369690681518972, 'subsample': 0.8684115670293403, 'colsample_bytree': 0.6866822294584507, 'min_child_weight': 1, 'max_delta_step': 0.3229163020436371, 'iqr_factor': 1.3493466552313063}. Best is trial 15 with value: 0.758.
2026-03-16 17:39:43,936 - optuna.study.study - INFO - Trial 23 finished with value: 0.756725 and parameters: {'n_estimators': 718, 'max_depth': 5, 'learning_rate': 0.04406638601183538, 'gamma': 1.3456324968528852, 'lambda': 6.937638295961047, 'alpha': 1.2132209478194709, 'subsample': 0.9539494458482594, 'colsample_bytree': 0.8506406428731332, 'min_child_weight': 5, 'max_delta_step': 0.8541103320362172, 'iqr_factor': 1.6307042407533332}. Best is trial 15 with value: 0.758.
2026-03-16 17:40:18,382 - optuna.study.study - INFO - Trial 24 finished with value: 0.7568999999999999 and parameters: {'n_estimators': 762, 'max_depth': 4, 'learning_rate': 0.026952513184180616, 'gamma': 0.0021971286231965426, 'lambda': 2.876433831583097, 'alpha': 2.186663137407069, 'subsample': 0.8150168184268893, 'colsample_bytree': 0.7465393659045054, 'min_child_weight': 9, 'max_delta_step': 0.6224543798910074, 'iqr_factor': 1.8288623849079346}. Best is trial 15 with value: 0.758.
2026-03-16 17:40:52,890 - optuna.study.study - INFO - Trial 25 finished with value: 0.746375 and parameters: {'n_estimators': 586, 'max_depth': 6, 'learning_rate': 0.22579473646794, 'gamma': 0.4977379897490607, 'lambda': 4.131364909088557, 'alpha': 0.4775540651447077, 'subsample': 0.708499204313972, 'colsample_bytree': 0.7958286795950081, 'min_child_weight': 2, 'max_delta_step': 0.09591666668081311, 'iqr_factor': 1.4857507484828092}. Best is trial 15 with value: 0.758.
2026-03-16 17:41:23,411 - optuna.study.study - INFO - Trial 26 finished with value: 0.7454000000000001 and parameters: {'n_estimators': 412, 'max_depth': 7, 'learning_rate': 0.005216402495808562, 'gamma': 1.170299883825848, 'lambda': 1.8191361825067556, 'alpha': 1.649019221397985, 'subsample': 0.8941880152502327, 'colsample_bytree': 0.8615300982132921, 'min_child_weight': 5, 'max_delta_step': 0.43056646295141265, 'iqr_factor': 1.2462186835041353}. Best is trial 15 with value: 0.758.
2026-03-16 17:41:47,695 - optuna.study.study - INFO - Trial 27 finished with value: 0.7553 and parameters: {'n_estimators': 568, 'max_depth': 5, 'learning_rate': 0.03533953030741222, 'gamma': 2.0744200259366288, 'lambda': 0.539460560763564, 'alpha': 1.0366267408668053, 'subsample': 0.9638119938607644, 'colsample_bytree': 0.6048015988570616, 'min_child_weight': 3, 'max_delta_step': 0.5188341610915801, 'iqr_factor': 1.4295366333256576}. Best is trial 15 with value: 0.758.
2026-03-16 17:42:25,456 - optuna.study.study - INFO - Trial 28 finished with value: 0.7558750000000001 and parameters: {'n_estimators': 474, 'max_depth': 6, 'learning_rate': 0.017278680372901253, 'gamma': 0.6960249900440615, 'lambda': 6.3054144727957, 'alpha': 0.44118436746695544, 'subsample': 0.8390332830706795, 'colsample_bytree': 0.7277594556430108, 'min_child_weight': 8, 'max_delta_step': 0.3503750441515341, 'iqr_factor': 1.7621231655303966}. Best is trial 15 with value: 0.758.
2026-03-16 17:42:45,068 - optuna.study.study - INFO - Trial 29 finished with value: 0.756025 and parameters: {'n_estimators': 345, 'max_depth': 7, 'learning_rate': 0.12574717907974137, 'gamma': 2.602076404294847, 'lambda': 1.0913690390751165, 'alpha': 0.6439351354770348, 'subsample': 0.7779672225111096, 'colsample_bytree': 0.770570520328487, 'min_child_weight': 12, 'max_delta_step': 0.8262033459570666, 'iqr_factor': 1.558274529318604}. Best is trial 15 with value: 0.758.
2026-03-16 17:43:04,945 - optuna.study.study - INFO - Trial 30 finished with value: 0.757 and parameters: {'n_estimators': 241, 'max_depth': 8, 'learning_rate': 0.09528582396316551, 'gamma': 1.1632510815469046, 'lambda': 7.5330941135328215, 'alpha': 1.86376445776447, 'subsample': 0.9292096368125564, 'colsample_bytree': 0.6735304718587494, 'min_child_weight': 6, 'max_delta_step': 0.6643097526976388, 'iqr_factor': 1.0403485273655955}. Best is trial 15 with value: 0.758.
2026-03-16 17:43:26,912 - optuna.study.study - INFO - Trial 31 finished with value: 0.7559000000000001 and parameters: {'n_estimators': 252, 'max_depth': 8, 'learning_rate': 0.06807325976808076, 'gamma': 1.1725373858301478, 'lambda': 6.652727612091843, 'alpha': 2.4504370553177104, 'subsample': 0.9105009595841811, 'colsample_bytree': 0.6488231988195716, 'min_child_weight': 5, 'max_delta_step': 0.9257825973516707, 'iqr_factor': 1.0153697657849992}. Best is trial 15 with value: 0.758.
2026-03-16 17:43:47,882 - optuna.study.study - INFO - Trial 32 finished with value: 0.755625 and parameters: {'n_estimators': 456, 'max_depth': 8, 'learning_rate': 0.09300287817849343, 'gamma': 3.089002569528617, 'lambda': 7.770912230720964, 'alpha': 1.8752726199080472, 'subsample': 0.9597775068146596, 'colsample_bytree': 0.6979435315858737, 'min_child_weight': 7, 'max_delta_step': 0.6586098262443659, 'iqr_factor': 1.2175730452659659}. Best is trial 15 with value: 0.758.
2026-03-16 17:44:16,629 - optuna.study.study - INFO - Trial 33 finished with value: 0.75335 and parameters: {'n_estimators': 552, 'max_depth': 8, 'learning_rate': 0.17744901768844992, 'gamma': 0.9001011711904403, 'lambda': 4.63378311181336, 'alpha': 1.373982609710553, 'subsample': 0.8660127868424511, 'colsample_bytree': 0.9455841264335156, 'min_child_weight': 2, 'max_delta_step': 0.5511951016721859, 'iqr_factor': 1.334080384648325}. Best is trial 15 with value: 0.758.
2026-03-16 17:44:39,359 - optuna.study.study - INFO - Trial 34 finished with value: 0.754675 and parameters: {'n_estimators': 368, 'max_depth': 5, 'learning_rate': 0.049733558277867185, 'gamma': 1.472528538623735, 'lambda': 9.778898901426157, 'alpha': 0.8583809197753101, 'subsample': 0.9704453970768488, 'colsample_bytree': 0.5924493987776556, 'min_child_weight': 6, 'max_delta_step': 0.1903466051776525, 'iqr_factor': 1.1188428313312753}. Best is trial 15 with value: 0.758.
2026-03-16 17:44:52,065 - optuna.study.study - INFO - Trial 35 finished with value: 0.746875 and parameters: {'n_estimators': 75, 'max_depth': 7, 'learning_rate': 0.031082371062028012, 'gamma': 0.36399432527126674, 'lambda': 7.640855758887148, 'alpha': 2.341900420619428, 'subsample': 0.943017273983252, 'colsample_bytree': 0.6718456295465259, 'min_child_weight': 4, 'max_delta_step': 0.6869145440841447, 'iqr_factor': 1.192710957738827}. Best is trial 15 with value: 0.758.
2026-03-16 17:45:24,525 - optuna.study.study - INFO - Trial 36 finished with value: 0.7571249999999999 and parameters: {'n_estimators': 843, 'max_depth': 8, 'learning_rate': 0.09165362388510818, 'gamma': 2.218099874745978, 'lambda': 5.524050425678343, 'alpha': 2.82799501393524, 'subsample': 0.736644356351121, 'colsample_bytree': 0.5258290848561566, 'min_child_weight': 2, 'max_delta_step': 0.9579855313151959, 'iqr_factor': 2.9478955180339885}. Best is trial 15 with value: 0.758.
